usuario,NN50_baseline,pNN50_baseline,NN20_baseline,pNN20_baseline,rmssd_baseline,sdnn_baseline,LF/HF_baseline-FFT,LF/HF_baseline-AR,LF/HF_baseline-LOMB,NN50_olfativo,pNN50_olfativo,NN20_olfativo,pNN20_olfativo,rmssd_olfativo,sdnn_olfativo,LF/HF_olfativo-FFT,LF/HF_olfativo-AR,LF/HF_olfativo-LOMB,NN50_auditivo,pNN50_auditivo,NN20_auditivo,pNN20_auditivo,rmssd_auditivo,sdnn_auditivo,LF/HF_auditivo-FFT,LF/HF_auditivo-AR,LF/HF_auditivo-LOMB,NN50_visual,pNN50_visual,NN20_visual,pNN20_visual,rmssd_visual,sdnn_visual,LF/HF_visual-FFT,LF/HF_visual-AR,LF/HF_visual-LOMB,NN50_interactivo,pNN50_interactivo,NN20_interactivo,pNN20_interactivo,rmssd_interactivo,sdnn_interactivo,LF/HF_interactivo-FFT,LF/HF_interactivo-AR,LF/HF_interactivo-LOMB,NN50_final,pNN50_final,NN20_final,pNN20_final,rmssd_final,sdnn_final,LF/HF_final-FFT,LF/HF_final-AR,LF/HF_final-LOMB
0,70,26.71755725,180,68.70229008,52.19286752,73.39246681,4.473487391,0.539250623,0.392034413,70,25.45454545,162,58.90909091,44.02590147,108.7069993,4.911678058,0.558500086,0.364931034,65,21.17263844,172,56.02605863,67.42999748,105.7158886,4.224215067,0.541566882,0.357272865,54,17.19745223,161,51.27388535,96.65804193,110.3128498,8.627195195,0.514626435,0.482106725,71,21.64634146,171,52.13414634,61.52582246,130.397892,5.333040543,0.55251645,0.480989811,114,42.37918216,214,79.55390335,64.55239076,93.9248618,3.132497709,0.528378386,0.330576087
1,37,11.45510836,174,53.86996904,34.8475228,49.30328834,3.806015711,0.545595827,0.484725702,11,2.894736842,101,26.57894737,20.73390308,37.55610051,2.896387572,0.559847715,0.367465708,28,7.756232687,129,35.73407202,101.8439956,98.44486994,1.169625043,0.494212785,0.404229964,28,7.954545455,130,36.93181818,28.91764364,55.72335616,6.695279401,0.586719595,0.536560163,20,5.249343832,139,36.48293963,49.26983926,64.89262465,1.512915182,0.542319864,0.479877801,105,33.87096774,232,74.83870968,55.8651025,67.79108282,2.566064832,0.528683981,0.508690089
2,86,23.95543175,196,54.59610028,59.38857454,93.89975673,0.406602804,0.493770897,0.574352047,102,28.89518414,207,58.64022663,77.49138671,109.8808752,0.400834506,0.506531374,0.440166345,29,7.160493827,145,35.80246914,30.14770224,54.87570099,1.493434913,0.537483607,0.388435069,21,4.849884527,127,29.33025404,49.11780626,67.78500901,6.140401935,0.528941672,0.442263297,14,3.271028037,129,30.14018692,21.34403329,47.28826976,2.46654652,0.555682924,0.478321231,6,1.398601399,99,23.07692308,17.59973246,32.34257066,3.839056943,0.563900538,0.440150371
3,60,20.4778157,193,65.87030717,40.09012884,56.60947392,2.650103996,0.538767671,0.331138657,23,7.823129252,158,53.7414966,31.0548122,51.96562736,3.642333269,0.564820408,0.506109536,18,5.960264901,131,43.37748344,26.37854838,54.98984652,1.706777789,0.557096061,0.437515551,21,6.542056075,114,35.51401869,25.20513966,72.93504634,4.166394487,0.555010184,0.372709891,5,1.655629139,91,30.13245033,20.00943486,37.5707392,3.217564036,0.544754344,0.348867502,32,11.63636364,161,58.54545455,32.28419259,40.85161603,1.335267543,0.539309031,0.525700026
4,0,0,52,15.80547112,13.41278254,26.84257972,10.27656524,0.560178544,0.443696634,2,0.664451827,82,27.24252492,18.37212246,32.65176257,2.687933636,0.554919467,0.380791663,0,0,57,18.68852459,15.1943691,31.63825317,3.530977124,0.563092796,0.308101075,3,1.013513514,76,25.67567568,17.34496967,38.79625585,5.327569071,0.562581354,0.401382111,8,2.721088435,107,36.39455782,22.58317958,29.07670252,3.142684079,0.562142741,0.448943595,14,4.912280702,115,40.35087719,24.19663598,53.28632402,6.37563599,0.552011005,0.441370541
5,89,34.09961686,201,77.01149425,48.39587709,55.05223908,1.670243278,0.527457928,0.440086502,42,16.47058824,158,61.96078431,36.4251583,52.50580836,1.002168943,0.540731541,0.433203471,26,10.03861004,171,66.02316602,33.02800964,40.94384569,1.803621105,0.538220335,0.384549667,43,16.47509579,157,60.1532567,35.79534206,45.3933051,2.849985049,0.543678354,0.364873881,44,15.22491349,160,55.3633218,54.38441284,138.3418864,5.624537153,0.539904924,0.430920853,111,44.75806452,189,76.20967742,55.29262332,52.18023304,0.837273623,0.533873144,0.336324304
6,0,0,3,0.643776824,6.823966853,15.57140244,14.48466834,0.573828691,0.323992913,0,0,12,2.591792657,8.758211204,17.31116815,3.048115088,0.567870673,0.426223443,0,0,8,1.731601732,8.435135752,24.8647335,5.090002609,0.568434397,0.394584503,2,0.43956044,15,3.296703297,10.32494046,25.38237509,7.443237672,0.569826011,0.408887922,1,0.229885057,27,6.206896552,11.07290366,28.93784661,5.397813599,0.570848541,0.442115326,0,0,24,5.970149254,10.74871275,30.48615832,13.37214677,0.568421749,0.443270903
7,44,14.81481481,176,59.25925926,34.73201882,50.07759554,2.45540548,0.545634374,0.338872701,39,12.42038217,169,53.82165605,33.28280672,72.51173292,21.06942916,0.592149247,0.457592296,20,6.25,142,44.375,72.82725709,83.56693388,2.592292033,0.536753545,0.413857542,35,11.11111111,147,46.66666667,31.94131524,63.8953346,14.75853253,0.569654603,0.511454815,12,3.658536585,94,28.65853659,21.26509507,51.85494908,10.1747648,0.575603273,0.413252436,66,23.74100719,201,72.30215827,40.60216708,51.78486792,2.848148695,0.537467472,0.406443701
8,0,0,25,6.443298969,10.75955581,24.89270911,9.873404289,0.569026296,0.28011655,0,0,16,4.188481675,10.34876121,28.43821733,8.492492152,0.565411547,0.355349065,0,0,28,7.567567568,11.01583627,27.54886517,16.39390662,0.559520007,0.376372729,0,0,28,7.73480663,11.6719667,30.52573621,17.00412475,0.566368841,0.491034019,3,0.810810811,21,5.675675676,11.84300455,23.78904489,11.39814189,0.56842965,0.378699277,0,0,27,7.541899441,10.69733429,27.82599877,13.82314675,0.567037283,0.353652204
9,12,3.084832905,60,15.42416452,18.44124973,43.99060787,9.222544903,0.582982,0.436287333,6,1.538461538,71,18.20512821,17.11761726,40.65571005,9.876179003,0.575761448,0.479501419,9,2.4,76,20.26666667,19.97331553,49.82096279,8.592408906,0.574861212,0.339303166,6,1.744186047,70,20.34883721,17.26562319,34.36465762,4.531262005,0.566964161,0.417675524,6,1.492537313,61,15.17412935,14.96230753,61.88131223,10.61298611,0.566190354,0.461111791,7,1.89701897,106,28.72628726,22.98609218,48.51743735,2.724995012,0.556985393,0.465914101
