usuario,NN50_baseline,pNN50_baseline,NN20_baseline,pNN20_baseline,rmssd_baseline,sdnn_baseline,LF/HF_baseline,NN50_olfativo,pNN50_olfativo,NN20_olfativo,pNN20_olfativo,rmssd_olfativo,sdnn_olfativo,LF/HF_olfativo,NN50_auditivo,pNN50_auditivo,NN20_auditivo,pNN20_auditivo,rmssd_auditivo,sdnn_auditivo,LF/HF_auditivo,NN50_visual,pNN50_visual,NN20_visual,pNN20_visual,rmssd_visual,sdnn_visual,LF/HF_visual,NN50_interactivo,pNN50_interactivo,NN20_interactivo,pNN20_interactivo,rmssd_interactivo,sdnn_interactivo,LF/HF_interactivo,NN50_final,pNN50_final,NN20_final,pNN20_final,rmssd_final,sdnn_final,LF/HF_final

0,355,0.8787128712871287,385,0.9529702970297029,300.828433153334,222.28182629699057,0.6064621883457147,304,0.7619047619047619,361,0.9047619047619048,275.276965525274,218.33523441617865,0.970131800497323,221,0.5877659574468085,297,0.7898936170212766,210.69734877559435,187.25028752611505,0.8165669638837325,150,0.42134831460674155,246,0.6910112359550562,160.98755567669477,165.8311212690639,0.8571777618909218,236,0.5686746987951807,328,0.7903614457831325,208.71138839089727,186.08688842867983,0.898090303701702,331,0.8316582914572864,373,0.9371859296482412,272.1589045916281,226.13801077633676,1.0336585105414693
1,206,0.35951134380453753,334,0.5828970331588132,144.30794062403024,105.01817142578565,0.663240656099522,160,0.3902439024390244,244,0.5951219512195122,110.64819521533518,103.30912560394115,0.40952303761058173,158,0.3979848866498741,254,0.6397984886649875,128.99002161751562,133.7349122898419,0.7776649442263447,103,0.27466666666666667,205,0.5466666666666666,100.26307830746835,112.21812890511035,0.6050498758774929,294,0.6336206896551724,368,0.7931034482758621,161.2375459742697,139.93218484116184,0.6612113855395302,314,0.596958174904943,419,0.7965779467680608,181.4350608859311,146.88343574594813,0.8342212421203603
2,335,0.6555772994129159,396,0.7749510763209393,152.50699211183067,115.81381231297257,0.5047304257321471,322,0.6075471698113207,400,0.7547169811320755,160.05746946104637,114.87771101560875,0.516206128237119,325,0.647410358565737,407,0.8107569721115537,131.98332725188234,105.55511328512728,0.38730706758121025,296,0.5803921568627451,398,0.7803921568627451,111.02907242608964,98.63811619205167,0.6483291081278868,295,0.5705996131528046,392,0.758220502901354,109.05097450547788,95.27102084511958,0.730994105171372,257,0.558695652173913,365,0.7934782608695652,109.54968938601942,89.68370077011447,0.8440413390860194
3,320,0.7565011820330969,377,0.8912529550827423,234.49447946395543,197.30193580704702,0.8454060988607405,85,0.275974025974026,196,0.6363636363636364,118.07520298901241,116.42527327278373,0.9185956590070644,97,0.3108974358974359,185,0.592948717948718,111.14992842456499,106.81979191985052,0.8308565228941577,60,0.18575851393188855,143,0.44272445820433437,47.48246918603725,78.31378808190951,1.7257456018164368,89,0.2807570977917981,168,0.5299684542586751,115.11734706479291,117.4824169501009,0.6359133393763274,417,0.8742138364779874,458,0.960167714884696,234.57670265114083,172.57206372739685,0.40347229261242157
4,340,0.6786427145708582,425,0.8483033932135728,169.66343292935193,126.60037648933478,0.4130162579698957,370,0.7991360691144709,420,0.9071274298056156,216.07270801504148,155.33826124925125,0.29832740286316756,369,0.7703549060542797,430,0.8977035490605428,213.89375513627567,153.5334262074823,0.2987438257840471,376,0.7550200803212851,442,0.8875502008032129,210.841600984093,144.44269427486478,0.4112977526407298,354,0.6873786407766991,431,0.8368932038834952,183.6193574415082,142.16279955997956,0.6225354263710831,365,0.7358870967741935,439,0.8850806451612904,187.08462647207406,140.8758773020867,0.5471451879276474
5,127,0.31592039800995025,232,0.5771144278606966,73.31455502500967,81.63145826548735,1.830104589895075,100,0.27624309392265195,223,0.6160220994475138,82.37050800157665,93.54712210339738,1.136026112481949,126,0.36627906976744184,242,0.7034883720930233,89.13300550282969,106.33403717149893,1.4729051588627486,94,0.2693409742120344,220,0.6303724928366762,56.598832778271706,63.18692723785285,1.2280806719311397,139,0.36103896103896105,247,0.6415584415584416,87.99609296284787,106.57661044356308,1.4968731374467585,205,0.6307692307692307,284,0.8738461538461538,170.64718481288838,175.89648769844842,0.8956859994601201
6,432,0.8244274809160306,487,0.9293893129770993,173.958549455709,100.85556689594522,0.2661826202618336,434,0.8560157790927022,478,0.9428007889546351,170.93793282545536,105.00058282945909,0.3489097877838766,434,0.8378378378378378,485,0.9362934362934363,139.38507324172588,92.09090847962354,1.0835452070314686,395,0.7552581261950286,480,0.9177820267686424,133.28741642881116,78.33641623006287,0.4765444158569126,350,0.6692160611854685,436,0.8336520076481836,155.1524997234706,113.11521707462032,0.8374886219201141,459,0.918,484,0.968,188.7486291059836,101.92745534862718,0.485771904077627
7,18,0.038461538461538464,33,0.07051282051282051,19.152368600642347,19.096334393317633,4.305600547067811,8,0.017204301075268817,34,0.07311827956989247,15.512564758105475,19.202998527782572,1.6769920297996004,18,0.03862660944206009,45,0.09656652360515021,23.266385200165665,30.600282066668104,1.2246636784636369,4,0.008733624454148471,19,0.04148471615720524,12.228960431303262,27.147138395073902,3.784600539973587,96,0.21621621621621623,155,0.3490990990990991,69.66447852026123,55.67199350252815,0.9092412189535489,4,0.009900990099009901,30,0.07425742574257425,20.38077048880994,36.70102945675944,1.527032415903028
8,399,0.8382352941176471,434,0.9117647058823529,199.27617383917587,134.35050524131876,0.549250898420256,363,0.7658227848101266,419,0.8839662447257384,182.68184356025674,131.7242129301642,0.406692023966887,354,0.7580299785867237,411,0.880085653104925,186.50608269324715,136.26671292737194,0.20271202201419591,349,0.7489270386266095,422,0.9055793991416309,185.22954089763644,134.76222579606198,0.34575815874048604,296,0.5769980506822612,392,0.7641325536062378,145.96236191112544,130.26486620170755,0.8195400240209417,441,0.8464491362763915,480,0.9213051823416507,200.1089257316803,125.24649005930782,0.5865960079225094
9,76,0.19487179487179487,156,0.4,38.77860215496275,34.161263098524756,1.9218852414645888,55,0.14322916666666666,119,0.3098958333333333,32.756190316926904,33.23832860584053,3.1801942201929223,72,0.19302949061662197,197,0.5281501340482574,43.76939575879642,38.39418721056561,1.7247595352722416,50,0.136986301369863,185,0.5068493150684932,40.136803578455456,39.47625188990293,2.0554984457970753,109,0.29222520107238603,255,0.6836461126005362,50.5489368015851,37.34394941010333,2.126821920161858,102,0.28254847645429365,222,0.6149584487534626,47.88251291165755,39.08088589009328,1.373345283998703
10,200,0.4662004662004662,248,0.578088578088578,113.16337897084239,110.9337531310559,0.627050277762905,228,0.5205479452054794,294,0.6712328767123288,118.02471600620103,115.33555334735313,0.4963602649810631,243,0.5328947368421053,297,0.6513157894736842,141.4843330656204,131.5609178276985,0.8674808709569669,263,0.5831485587583148,326,0.7228381374722838,160.37431560114726,151.51782308288483,0.5420837031431013,212,0.4764044943820225,269,0.604494382022472,108.62137605952445,107.58335301741862,0.6515973748425368,198,0.515625,281,0.7317708333333334,95.01291368735939,96.82806284486443,0.4825805279037501
11,205,0.5857142857142857,291,0.8314285714285714,186.72841161241166,179.54199671248065,0.7736056875216754,156,0.4394366197183099,268,0.7549295774647887,131.77515295779818,147.7430685560467,1.1942091941945356,104,0.29971181556195964,222,0.6397694524495677,88.2113150618168,109.10305818349057,0.6744636056501107,187,0.5165745856353591,285,0.787292817679558,144.5627615968898,150.7504709381443,0.7291405166946124,211,0.4518201284796574,325,0.69593147751606,124.07158327909924,121.80611131718905,0.7886227925216615,176,0.5116279069767442,270,0.7848837209302325,170.04331020322027,176.03891664564023,0.8812399568209417
